n_updates,policy_loss,policy_entropy,ep_reward_mean,fps,approxkl,explained_variance,clipfrac,time_elapsed,value_loss,total_timesteps,serial_timesteps,ep_len_mean
1,-0.0015995649,2.3000908,-44.64722361223352,46,0.0024941,-7.05718994140625e-05,0.010937501,2.5033950805664062e-05,27.83189,8000,2000,250.67741935483872
2,-0.0040715155,2.2762005,-33.37900028123506,50,0.0062377485,0.013295471668243408,0.06271875,171.56071853637695,23.966084,16000,4000,246.25396825396825
3,-0.0034970518,2.250399,-28.82859252177179,44,0.0053660106,0.04312479496002197,0.06103124,329.4376838207245,19.43504,24000,6000,230.73
4,-0.0015769349,2.2096677,-12.410755693353712,46,0.0057208603,0.05607646703720093,0.06571874,508.6471872329712,23.856785,32000,8000,203.49
5,-0.0015919966,2.1730516,18.129078176394106,43,0.0045918575,0.08965319395065308,0.04831249,681.2936861515045,52.692863,40000,10000,152.61
6,-0.00028222255,2.1107626,27.907831535562874,36,0.006156634,0.1165856122970581,0.07806251,866.0582342147827,78.01112,48000,12000,84.19
7,-0.0045676637,2.0389292,41.21724393654615,39,0.0075136647,0.16913586854934692,0.10053125,1083.5290768146515,68.65116,56000,14000,111.47
8,-0.0032146052,2.0261226,16.059863096289337,37,0.0077498523,0.23666536808013916,0.07678125,1287.807701587677,42.866512,64000,16000,106.68
9,-0.003601406,2.0364833,4.3583499482274055,40,0.0056106034,0.3010050654411316,0.05743749,1501.0776271820068,33.06836,72000,18000,103.99
10,-0.0033403016,1.9160955,12.242902230992913,40,0.006951808,0.34469157457351685,0.07799999,1696.796756029129,58.91776,80000,20000,76.52
11,-0.004693894,1.7679043,45.049462772607804,36,0.009156431,0.3441159725189209,0.11628124,1895.7646989822388,98.526886,88000,22000,85.45
12,-0.0024727783,1.8031801,10.471591078676283,38,0.009833853,0.37836259603500366,0.12028125,2114.402531147003,57.94721,96000,24000,70.51
13,-0.000372394,1.8313099,18.62473967641592,41,0.0038969615,0.44885557889938354,0.034218755,2320.5006506443024,58.703953,104000,26000,71.34
14,-0.0007018288,1.8696028,5.061915641091764,43,0.005002301,0.47119390964508057,0.04709375,2511.1079902648926,61.989502,112000,28000,66.22
15,-0.0003759873,1.5040177,50.01623580098152,38,0.00559946,0.5139830112457275,0.055375002,2696.7034714221954,105.66662,120000,30000,67.33
16,-0.00157881,1.7360038,18.492391741536558,39,0.0041296594,0.38855844736099243,0.034999993,2905.6391320228577,74.00946,128000,32000,65.61
17,-0.0017105854,1.472462,21.628975578993558,37,0.0051901685,0.5456855893135071,0.053218737,3107.1066706180573,63.751514,136000,34000,61.33
18,-0.00031667747,1.2655501,32.76753398451954,38,0.0031957417,0.5944736301898956,0.034031253,3321.7609403133392,120.669716,144000,36000,52.79
19,-0.00074070785,1.6865396,12.309034652076662,40,0.005255813,0.5400217473506927,0.054625005,3529.8073444366455,59.447853,152000,38000,69.11
20,-0.0009982697,1.2662171,39.879417793340984,36,0.007072357,0.5893188118934631,0.059656244,3729.1740386486053,100.24503,160000,40000,55.98
21,-0.0035451702,1.4548897,22.224879859276115,39,0.0052164895,0.6905497312545776,0.050499998,3945.4431161880493,72.973404,168000,42000,57.02
22,-0.00066927855,1.7132261,5.878901124559343,41,0.0044228844,0.7109990119934082,0.0505625,4147.788879394531,41.6566,176000,44000,73.39
23,0.0019656396,1.5306022,36.23519635088742,38,0.00506239,0.6537911891937256,0.054437507,4341.755321979523,72.626686,184000,46000,72.55
24,0.00067055767,1.585372,25.0551384299621,40,0.0072687743,0.6091755032539368,0.081031255,4551.244366407394,61.988857,192000,48000,79.96
25,-0.0020665927,1.6018605,19.865744906999172,41,0.0076912865,0.7403975129127502,0.103906244,4749.1108775138855,57.889908,200000,50000,65.4
26,0.002131599,1.9316491,1.4297002436220645,59,0.011633367,0.48396414518356323,0.13834372,4943.355695009232,39.039833,208000,52000,77.41
27,-0.00011853644,1.0743787,69.00917707197368,37,0.008501468,0.7821584790945053,0.09221876,5077.701735258102,109.78429,216000,54000,59.48
28,0.0016649344,1.805313,24.812351424992084,51,0.012189971,0.3740488886833191,0.145625,5293.365160703659,77.9248,224000,56000,92.48
29,-0.00030919936,1.6512296,27.09981505535543,54,0.01260468,0.4393666982650757,0.18281254,5447.692897319794,84.17174,232000,58000,71.53
30,0.004250204,1.5471435,39.80826282467693,44,0.013561897,0.4558943510055542,0.14353125,5594.097786664963,104.41763,240000,60000,79.71
31,0.005881494,1.4122412,29.023406545594334,41,0.016402138,0.5545111298561096,0.1348125,5774.650194883347,85.232994,248000,62000,74.72
32,0.0033845992,1.3538697,31.30240499585867,43,0.010609153,0.5775755047798157,0.121875,5967.908970832825,95.108444,256000,64000,63.97
33,0.0006984523,1.3113804,37.117972265295684,40,0.007904329,0.6862057745456696,0.09028125,6152.064570903778,77.28089,264000,66000,68.79
34,0.0031418474,1.0861709,49.754788365401325,43,0.01075579,0.6289846301078796,0.12462499,6351.005539178848,116.91037,272000,68000,62.66
35,0.0037267422,1.0057955,68.22882584176958,38,0.010053913,0.8087739646434784,0.108125016,6533.462728738785,82.8642,280000,70000,64.14
36,0.0025546704,1.2261523,50.85333532791585,43,0.011199589,0.7971816509962082,0.11871874,6739.778002738953,71.73594,288000,72000,71.84
37,0.0020821234,1.3303379,51.00515299413353,39,0.010715233,0.6986437737941742,0.121812515,6923.5819392204285,76.459564,296000,74000,80.16
38,-0.0002953411,1.1283635,59.925515445433554,43,0.009095737,0.7469917833805084,0.11034375,7127.8364017009735,88.53365,304000,76000,59.91
39,0.005933415,1.353279,36.227129005417225,44,0.021114055,0.7538983523845673,0.14815623,7311.431360721588,60.03354,312000,78000,78.83
40,0.0028176198,1.3041542,45.23200727123767,42,0.009515991,0.7451026439666748,0.119687475,7493.138373851776,57.62045,320000,80000,87.6
41,0.0023592613,1.199973,50.18832935839892,40,0.008518554,0.7733965069055557,0.10121874,7680.093653917313,69.068596,328000,82000,69.68
42,0.0048783654,1.2178785,45.65779062930495,54,0.019959103,0.8158870488405228,0.17109372,7876.556755781174,59.94594,336000,84000,72.88
43,4.3320615e-06,1.0721312,53.29624718781561,38,0.010143651,0.8406597822904587,0.10890626,8022.492871046066,62.91739,344000,86000,67.66
44,-0.0024138326,1.206668,39.454004265517,42,0.005619155,0.8179708123207092,0.060031246,8228.979105949402,54.85323,352000,88000,75.97
45,0.00031679118,1.2063882,47.36287989646196,39,0.0046370765,0.8462265431880951,0.048437502,8418.850748300552,62.01531,360000,90000,71.9
46,0.018649839,1.3075867,38.84896860443055,41,0.040582635,0.838829755783081,0.27906254,8622.627558231354,45.773857,368000,92000,83.89
47,0.0064983745,0.8914984,62.0437192562595,38,0.023493122,0.8133813738822937,0.179625,8814.294893026352,62.96247,376000,94000,72.0
48,0.0003275174,1.0193201,57.119357589296996,51,0.006907259,0.877567283809185,0.082499996,9022.765863895416,51.11564,384000,96000,71.78
49,-0.001804479,0.88967556,55.8792836118117,43,0.009046171,0.8266312777996063,0.10878123,9177.30165719986,51.875404,392000,98000,67.68
50,0.0032491358,0.78888834,70.77070688631386,45,0.014661027,0.8794926777482033,0.15793748,9361.828118085861,49.014946,400000,100000,66.2
51,0.0003001617,0.93327177,56.65655265275389,45,0.008236612,0.8582450300455093,0.091781266,9538.331526517868,54.089024,408000,102000,73.23
52,-0.00040802482,0.75848234,60.461017107702794,43,0.013769377,0.7833200991153717,0.122343756,9716.090869188309,63.772984,416000,104000,62.62
53,-0.0004813071,0.99905056,44.854133066572246,41,0.007018922,0.8416517376899719,0.0756875,9900.369490861893,54.362133,424000,106000,67.55
54,0.000469747,0.973189,48.58523451630026,49,0.010323637,0.8752748742699623,0.11637501,10091.69924211502,48.632248,432000,108000,76.45
55,0.0017372882,1.0069604,48.796544814631346,38,0.014800094,0.910939447581768,0.14071877,10253.13722395897,37.700924,440000,110000,83.72
56,-0.0005543106,0.8829526,59.71222105145454,40,0.007508441,0.884235717356205,0.081,10459.08800292015,51.031334,448000,112000,66.66
57,0.007881161,1.013908,58.387484656348825,39,0.021776674,0.8953105881810188,0.22412497,10656.254872083664,42.50886,456000,114000,88.38
58,0.0005957652,0.8178212,70.43894166845828,46,0.008217156,0.9201768711209297,0.096,10859.767431735992,31.00641,464000,116000,84.3
59,0.0028665068,0.8768947,66.73479713950306,46,0.016725546,0.9417302869260311,0.1736875,11032.61027956009,25.463728,472000,118000,87.22
60,0.006165234,0.9719122,72.05091587565839,41,0.021027321,0.9354039654135704,0.2269687,11203.550694942474,25.17876,480000,120000,91.76
61,0.001286678,0.9664995,57.27007546219975,41,0.010028404,0.9211081936955452,0.1203125,11395.895778417587,35.702633,488000,122000,97.78
62,0.0019684285,0.6974887,78.1604413125664,41,0.015605879,0.8937410563230515,0.1414375,11586.881924390793,39.910355,496000,124000,75.6
63,0.0034614813,0.82865506,75.39706945288927,41,0.01506119,0.9471860304474831,0.15175,11781.324863433838,22.212063,504000,126000,83.07
64,0.0033995311,0.7478413,71.30676894877107,41,0.01523449,0.9179658144712448,0.14040624,11972.496716022491,21.490225,512000,128000,85.23
65,0.00013725922,0.8749035,73.86290637187659,39,0.0075327978,0.9262768924236298,0.09571875,12166.908876657486,27.406528,520000,130000,88.95
66,-0.0042494335,0.90341043,71.03616865448653,36,0.009338835,0.9271900728344917,0.111375004,12370.460121393204,35.012424,528000,132000,91.48
67,0.0027946124,0.9686227,54.3547745623067,38,0.014374154,0.9077540934085846,0.1729375,12589.436069250107,34.37408,536000,134000,99.4
68,0.00068868,0.81842774,56.10268024981022,39,0.016659092,0.9228748679161072,0.16090624,12794.794636011124,27.030098,544000,136000,105.1
69,0.002415671,0.89011717,70.64914465155452,42,0.014725531,0.9452858977019787,0.16462505,12999.015205860138,19.233032,552000,138000,107.56
70,-9.951947e-05,0.6706398,68.61642326414585,38,0.012057693,0.8756038323044777,0.13103124,13189.300072193146,35.13507,560000,140000,78.79
71,0.0020922783,0.6798446,81.71310251697898,37,0.01776034,0.9382279105484486,0.15515624,13398.176353693008,21.313978,568000,142000,72.55
72,0.0028033566,1.0173154,63.95122103575617,39,0.016203955,0.9313255548477173,0.18909375,13614.312456846237,28.213642,576000,144000,97.11
73,-0.00069978274,0.79259944,79.12401835039257,36,0.005116329,0.9216655194759369,0.054874998,13815.988111972809,33.653805,584000,146000,70.44
74,-0.00238293,0.8340275,59.28414403472096,40,0.014450745,0.8445641696453094,0.156375,14037.185590028763,48.904327,592000,148000,74.67
75,-5.5112694e-05,0.87899905,65.54321612946688,39,0.012684937,0.906469851732254,0.14071877,14232.992205142975,36.071667,600000,150000,76.56
76,0.00017606186,0.9214951,65.79583102475851,39,0.015097076,0.9088023155927658,0.16403125,14434.929120063782,31.329754,608000,152000,97.95
77,0.007066821,0.91594607,61.07325858145952,40,0.059278972,0.9128499180078506,0.19634378,14637.81366944313,36.260567,616000,154000,79.33
78,-0.002856129,0.9681087,56.76314144734293,42,0.010045974,0.9302076548337936,0.12162499,14834.813765525818,30.952738,624000,156000,82.87
79,-0.0013979777,0.8175014,60.36948991134763,41,0.010151597,0.9126216843724251,0.12006249,15024.140796899796,30.279942,632000,158000,80.97
80,0.00015707726,1.0166048,62.11416542097926,42,0.0109145865,0.9342916086316109,0.12890625,15218.400241613388,28.133974,640000,160000,96.0
81,0.00044651228,1.0562454,65.87121393181384,36,0.013319497,0.8886841386556625,0.16109376,15408.08716082573,37.576927,648000,162000,107.26
82,7.103481e-07,1.0154727,61.16832424685359,45,0.01497018,0.9288415089249611,0.17862502,15627.638778209686,30.706224,656000,164000,90.49
83,-0.0018624449,0.95290697,65.68994492501021,39,0.012076986,0.9112730175256729,0.13628127,15805.323799848557,36.71407,664000,166000,91.45
84,8.862604e-05,0.8956926,69.25320795960724,39,0.014993154,0.9291795715689659,0.15568748,16006.97401189804,33.497036,672000,168000,81.35
85,-0.0014943879,0.95780075,71.3786359909922,43,0.0117964195,0.9388390630483627,0.1284375,16208.461351633072,27.588646,680000,170000,83.5
86,-0.0011003916,1.1160012,51.43309970971197,45,0.012359091,0.9260581433773041,0.14109376,16390.47820663452,32.780525,688000,172000,92.12
87,-0.0019859523,0.97011787,61.52458806257695,38,0.010983759,0.9138791635632515,0.14134376,16564.49168777466,36.896782,696000,174000,81.99
88,-0.0017890078,0.98583025,55.90740409929305,42,0.009180703,0.8964424505829811,0.112156235,16769.81663274765,41.88265,704000,176000,80.72
89,-0.0012558398,0.8670685,68.39980866443366,37,0.0116586685,0.8887595534324646,0.12356249,16958.025531053543,43.141582,712000,178000,79.13
